State,Source,Type,Category,Withdrawal_MGD,Population
New Jersey,Surface,Saline,Irrigation,0.0,8790000
New Mexico,Surface,Saline,Irrigation,0.0,2060000
New York,Surface,Saline,Irrigation,0.0,19400000
North Carolina,Surface,Saline,Irrigation,0.0,9540000
North Dakota,Surface,Saline,Irrigation,0.0,673000
Ohio,Surface,Saline,Irrigation,0.0,11500000
Oklahoma,Surface,Saline,Irrigation,0.0,3750000
Oregon,Surface,Saline,Irrigation,0.0,3830000
Pennsylvania,Surface,Saline,Irrigation,0.0,12700000
Rhode Island,Surface,Saline,Irrigation,0.0,1050000
South Carolina,Surface,Saline,Irrigation,0.0,4630000
South Dakota,Surface,Saline,Irrigation,0.0,814000
Tennessee,Surface,Saline,Irrigation,0.0,6350000
Texas,Surface,Saline,Irrigation,0.0,25100000
Utah,Surface,Saline,Irrigation,0.0,2760000
Vermont,Surface,Saline,Irrigation,0.0,626000
Virginia,Surface,Saline,Irrigation,0.0,8000000
Washington,Surface,Saline,Irrigation,0.0,6720000
West Virginia,Surface,Saline,Irrigation,0.0,1850000
Wisconsin,Surface,Saline,Irrigation,0.0,5690000
Wyoming,Surface,Saline,Irrigation,0.0,564000
Puerto Rico,Surface,Saline,Irrigation,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Irrigation,0.0,106000
Alabama,Surface,Fresh,Livestock,14.8,4780000
Alaska,Surface,Fresh,Livestock,0.15,710000
Arizona,Surface,Fresh,Livestock,0.0,6390000
Arkansas,Surface,Fresh,Livestock,23.4,2920000
California,Surface,Fresh,Livestock,103.0,37300000
Colorado,Surface,Fresh,Livestock,11.8,5030000
Connecticut,Surface,Fresh,Livestock,0.0,3570000
Delaware,Surface,Fresh,Livestock,0.0,898000
District Of Columbia,Surface,Fresh,Livestock,0.0,602000
Florida,Surface,Fresh,Livestock,2.22,18800000
Georgia,Surface,Fresh,Livestock,26.9,9690000
Hawaii,Surface,Fresh,Livestock,1.2,1360000
Idaho,Surface,Fresh,Livestock,9.01,1570000
Illinois,Surface,Fresh,Livestock,0.03,12800000
Indiana,Surface,Fresh,Livestock,13.0,6480000
Iowa,Surface,Fresh,Livestock,33.8,3050000
Kansas,Surface,Fresh,Livestock,23.0,2850000
Kentucky,Surface,Fresh,Livestock,41.6,4340000
Louisiana,Surface,Fresh,Livestock,3.88,4530000
Maine,Surface,Fresh,Livestock,0.58,1330000
Maryland,Surface,Fresh,Livestock,2.23,5770000
Massachusetts,Surface,Fresh,Livestock,0.5,6550000
Michigan,Surface,Fresh,Livestock,1.9,9880000
Minnesota,Surface,Fresh,Livestock,0.0,5300000
Mississippi,Surface,Fresh,Livestock,11.1,2970000
Missouri,Surface,Fresh,Livestock,54.5,5990000
Montana,Surface,Fresh,Livestock,29.5,989000
Nebraska,Surface,Fresh,Livestock,21.2,1830000
Nevada,Surface,Fresh,Livestock,0.0,2700000
New Hampshire,Surface,Fresh,Livestock,0.22,1320000
New Jersey,Surface,Fresh,Livestock,0.0,8790000
New Mexico,Surface,Fresh,Livestock,3.03,2060000
New York,Surface,Fresh,Livestock,8.0,19400000
North Carolina,Surface,Fresh,Livestock,15.0,9540000
North Dakota,Surface,Fresh,Livestock,8.62,673000
Ohio,Surface,Fresh,Livestock,16.3,11500000
Oklahoma,Surface,Fresh,Livestock,56.3,3750000
Oregon,Surface,Fresh,Livestock,14.0,3830000
Pennsylvania,Surface,Fresh,Livestock,6.75,12700000
Rhode Island,Surface,Fresh,Livestock,0.01,1050000
South Carolina,Surface,Fresh,Livestock,6.79,4630000
South Dakota,Surface,Fresh,Livestock,28.3,814000
Tennessee,Surface,Fresh,Livestock,13.4,6350000
Texas,Surface,Fresh,Livestock,127.0,25100000
Utah,Surface,Fresh,Livestock,8.76,2760000
Vermont,Surface,Fresh,Livestock,1.41,626000
Virginia,Surface,Fresh,Livestock,20.8,8000000
Washington,Surface,Fresh,Livestock,8.55,6720000
West Virginia,Surface,Fresh,Livestock,3.42,1850000
Wisconsin,Surface,Fresh,Livestock,7.3,5690000
Wyoming,Surface,Fresh,Livestock,10.3,564000
Puerto Rico,Surface,Fresh,Livestock,2.24,3730000
U.S. Virgin Islands,Surface,Fresh,Livestock,0.01,106000
Alabama,Surface,Saline,Livestock,0.0,4780000
Alaska,Surface,Saline,Livestock,0.0,710000
Arizona,Surface,Saline,Livestock,0.0,6390000
Arkansas,Surface,Saline,Livestock,0.0,2920000
California,Surface,Saline,Livestock,0.0,37300000
Colorado,Surface,Saline,Livestock,0.0,5030000
Connecticut,Surface,Saline,Livestock,0.0,3570000
Delaware,Surface,Saline,Livestock,0.0,898000
District Of Columbia,Surface,Saline,Livestock,0.0,602000
Florida,Surface,Saline,Livestock,0.0,18800000
Georgia,Surface,Saline,Livestock,0.0,9690000
Hawaii,Surface,Saline,Livestock,0.0,1360000
Idaho,Surface,Saline,Livestock,0.0,1570000
Illinois,Surface,Saline,Livestock,0.0,12800000
Indiana,Surface,Saline,Livestock,0.0,6480000
Iowa,Surface,Saline,Livestock,0.0,3050000
Kansas,Surface,Saline,Livestock,0.0,2850000
Kentucky,Surface,Saline,Livestock,0.0,4340000
Louisiana,Surface,Saline,Livestock,0.0,4530000
Maine,Surface,Saline,Livestock,0.0,1330000
Maryland,Surface,Saline,Livestock,0.0,5770000
Massachusetts,Surface,Saline,Livestock,0.0,6550000
Michigan,Surface,Saline,Livestock,0.0,9880000
Minnesota,Surface,Saline,Livestock,0.0,5300000
Mississippi,Surface,Saline,Livestock,0.0,2970000
Missouri,Surface,Saline,Livestock,0.0,5990000
Montana,Surface,Saline,Livestock,0.0,989000
Nebraska,Surface,Saline,Livestock,0.0,1830000
Nevada,Surface,Saline,Livestock,0.0,2700000
New Hampshire,Surface,Saline,Livestock,0.0,1320000
New Jersey,Surface,Saline,Livestock,0.0,8790000
New Mexico,Surface,Saline,Livestock,0.0,2060000
New York,Surface,Saline,Livestock,0.0,19400000
North Carolina,Surface,Saline,Livestock,0.0,9540000
North Dakota,Surface,Saline,Livestock,0.0,673000
Ohio,Surface,Saline,Livestock,0.0,11500000
Oklahoma,Surface,Saline,Livestock,0.0,3750000
Oregon,Surface,Saline,Livestock,0.0,3830000
Pennsylvania,Surface,Saline,Livestock,0.0,12700000
Rhode Island,Surface,Saline,Livestock,0.0,1050000
South Carolina,Surface,Saline,Livestock,0.0,4630000
South Dakota,Surface,Saline,Livestock,0.0,814000
Tennessee,Surface,Saline,Livestock,0.0,6350000
Texas,Surface,Saline,Livestock,0.0,25100000
Utah,Surface,Saline,Livestock,0.0,2760000
Vermont,Surface,Saline,Livestock,0.0,626000
Virginia,Surface,Saline,Livestock,0.0,8000000
Washington,Surface,Saline,Livestock,0.0,6720000
West Virginia,Surface,Saline,Livestock,0.0,1850000
Wisconsin,Surface,Saline,Livestock,0.0,5690000
Wyoming,Surface,Saline,Livestock,0.0,564000
Puerto Rico,Surface,Saline,Livestock,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Livestock,0.0,106000
Alabama,Surface,Fresh,Aquaculture,26.6,4780000
Alaska,Surface,Fresh,Aquaculture,255.0,710000
Arizona,Surface,Fresh,Aquaculture,7.77,6390000
Arkansas,Surface,Fresh,Aquaculture,86.5,2920000
California,Surface,Fresh,Aquaculture,802.0,37300000
Colorado,Surface,Fresh,Aquaculture,99.0,5030000
Connecticut,Surface,Fresh,Aquaculture,23.0,3570000
Delaware,Surface,Fresh,Aquaculture,0.0,898000
District Of Columbia,Surface,Fresh,Aquaculture,0.0,602000
Florida,Surface,Fresh,Aquaculture,0.0,18800000
Georgia,Surface,Fresh,Aquaculture,45.9,9690000
Hawaii,Surface,Fresh,Aquaculture,2.4,1360000
Idaho,Surface,Fresh,Aquaculture,2690.0,1570000
Illinois,Surface,Fresh,Aquaculture,27.2,12800000
Indiana,Surface,Fresh,Aquaculture,1.97,6480000
Iowa,Surface,Fresh,Aquaculture,4.45,3050000
Kansas,Surface,Fresh,Aquaculture,8.57,2850000
Kentucky,Surface,Fresh,Aquaculture,33.5,4340000
Louisiana,Surface,Fresh,Aquaculture,114.0,4530000
Maine,Surface,Fresh,Aquaculture,21.2,1330000
Maryland,Surface,Fresh,Aquaculture,15.7,5770000
Massachusetts,Surface,Fresh,Aquaculture,42.4,6550000
Michigan,Surface,Fresh,Aquaculture,78.5,9880000
Minnesota,Surface,Fresh,Aquaculture,15.2,5300000
Mississippi,Surface,Fresh,Aquaculture,19.3,2970000
Missouri,Surface,Fresh,Aquaculture,170.0,5990000
Montana,Surface,Fresh,Aquaculture,16.4,989000
Nebraska,Surface,Fresh,Aquaculture,82.2,1830000
Nevada,Surface,Fresh,Aquaculture,38.8,2700000
New Hampshire,Surface,Fresh,Aquaculture,8.48,1320000
New Jersey,Surface,Fresh,Aquaculture,0.0,8790000
New Mexico,Surface,Fresh,Aquaculture,4.32,2060000
New York,Surface,Fresh,Aquaculture,36.8,19400000
North Carolina,Surface,Fresh,Aquaculture,1450.0,9540000
North Dakota,Surface,Fresh,Aquaculture,5.92,673000
Ohio,Surface,Fresh,Aquaculture,19.0,11500000
Oklahoma,Surface,Fresh,Aquaculture,7.43,3750000
Oregon,Surface,Fresh,Aquaculture,679.0,3830000
Pennsylvania,Surface,Fresh,Aquaculture,59.7,12700000
Rhode Island,Surface,Fresh,Aquaculture,8.9,1050000
South Carolina,Surface,Fresh,Aquaculture,8.97,4630000
South Dakota,Surface,Fresh,Aquaculture,23.6,814000
Tennessee,Surface,Fresh,Aquaculture,37.2,6350000
Texas,Surface,Fresh,Aquaculture,22.2,25100000
Utah,Surface,Fresh,Aquaculture,0.0,2760000
Vermont,Surface,Fresh,Aquaculture,4.96,626000
Virginia,Surface,Fresh,Aquaculture,286.0,8000000
Washington,Surface,Fresh,Aquaculture,127.0,6720000
West Virginia,Surface,Fresh,Aquaculture,40.6,1850000
Wisconsin,Surface,Fresh,Aquaculture,30.2,5690000
Wyoming,Surface,Fresh,Aquaculture,18.7,564000
Puerto Rico,Surface,Fresh,Aquaculture,0.4,3730000
U.S. Virgin Islands,Surface,Fresh,Aquaculture,0.0,106000
Alabama,Surface,Saline,Aquaculture,0.0,4780000
Alaska,Surface,Saline,Aquaculture,0.0,710000
Arizona,Surface,Saline,Aquaculture,0.0,6390000
Arkansas,Surface,Saline,Aquaculture,0.0,2920000
California,Surface,Saline,Aquaculture,0.0,37300000
Colorado,Surface,Saline,Aquaculture,0.0,5030000
Connecticut,Surface,Saline,Aquaculture,0.0,3570000
Delaware,Surface,Saline,Aquaculture,0.0,898000
District Of Columbia,Surface,Saline,Aquaculture,0.0,602000
Florida,Surface,Saline,Aquaculture,0.0,18800000
Georgia,Surface,Saline,Aquaculture,0.0,9690000
Hawaii,Surface,Saline,Aquaculture,0.0,1360000
Idaho,Surface,Saline,Aquaculture,0.0,1570000
Illinois,Surface,Saline,Aquaculture,0.0,12800000
Indiana,Surface,Saline,Aquaculture,0.0,6480000
Iowa,Surface,Saline,Aquaculture,0.0,3050000
Kansas,Surface,Saline,Aquaculture,0.0,2850000
Kentucky,Surface,Saline,Aquaculture,0.0,4340000
Louisiana,Surface,Saline,Aquaculture,0.0,4530000
Maine,Surface,Saline,Aquaculture,0.0,1330000
Maryland,Surface,Saline,Aquaculture,0.0,5770000
Massachusetts,Surface,Saline,Aquaculture,0.0,6550000
Michigan,Surface,Saline,Aquaculture,0.0,9880000
Minnesota,Surface,Saline,Aquaculture,0.0,5300000
Mississippi,Surface,Saline,Aquaculture,0.0,2970000
Missouri,Surface,Saline,Aquaculture,0.0,5990000
Montana,Surface,Saline,Aquaculture,0.0,989000
Nebraska,Surface,Saline,Aquaculture,0.0,1830000
Nevada,Surface,Saline,Aquaculture,0.0,2700000
New Hampshire,Surface,Saline,Aquaculture,0.0,1320000
New Jersey,Surface,Saline,Aquaculture,0.0,8790000
New Mexico,Surface,Saline,Aquaculture,0.0,2060000
New York,Surface,Saline,Aquaculture,0.0,19400000
North Carolina,Surface,Saline,Aquaculture,0.0,9540000
North Dakota,Surface,Saline,Aquaculture,0.0,673000
Ohio,Surface,Saline,Aquaculture,0.0,11500000
Oklahoma,Surface,Saline,Aquaculture,0.0,3750000
Oregon,Surface,Saline,Aquaculture,0.0,3830000
Pennsylvania,Surface,Saline,Aquaculture,0.0,12700000
Rhode Island,Surface,Saline,Aquaculture,0.0,1050000
South Carolina,Surface,Saline,Aquaculture,0.0,4630000
South Dakota,Surface,Saline,Aquaculture,0.0,814000
Tennessee,Surface,Saline,Aquaculture,0.0,6350000
Texas,Surface,Saline,Aquaculture,0.0,25100000
Utah,Surface,Saline,Aquaculture,0.0,2760000
Vermont,Surface,Saline,Aquaculture,0.0,626000
Virginia,Surface,Saline,Aquaculture,0.0,8000000
Washington,Surface,Saline,Aquaculture,0.0,6720000
West Virginia,Surface,Saline,Aquaculture,0.0,1850000
Wisconsin,Surface,Saline,Aquaculture,0.0,5690000
Wyoming,Surface,Saline,Aquaculture,0.0,564000
Puerto Rico,Surface,Saline,Aquaculture,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Aquaculture,0.0,106000
Alabama,Surface,Fresh,Industrial,540.0,4780000
Alaska,Surface,Fresh,Industrial,4.4,710000
Arizona,Surface,Fresh,Industrial,0.0,6390000
Arkansas,Surface,Fresh,Industrial,214.0,2920000
California,Surface,Fresh,Industrial,1.13,37300000
Colorado,Surface,Fresh,Industrial,127.0,5030000
Connecticut,Surface,Fresh,Industrial,60.2,3570000
Delaware,Surface,Fresh,Industrial,87.5,898000
District Of Columbia,Surface,Fresh,Industrial,0.0,602000
Florida,Surface,Fresh,Industrial,47.7,18800000
Georgia,Surface,Fresh,Industrial,281.0,9690000
Hawaii,Surface,Fresh,Industrial,0.0,1360000
Idaho,Surface,Fresh,Industrial,17.2,1570000
Illinois,Surface,Fresh,Industrial,267.0,12800000
Indiana,Surface,Fresh,Industrial,2120.0,6480000
Iowa,Surface,Fresh,Industrial,2.7,3050000
Kansas,Surface,Fresh,Industrial,6.79,2850000
Kentucky,Surface,Fresh,Industrial,146.0,4340000
Louisiana,Surface,Fresh,Industrial,1830.0,4530000
Maine,Surface,Fresh,Industrial,185.0,1330000
Maryland,Surface,Fresh,Industrial,38.6,5770000
Massachusetts,Surface,Fresh,Industrial,12.1,6550000
Michigan,Surface,Fresh,Industrial,537.0,9880000
Minnesota,Surface,Fresh,Industrial,71.7,5300000
Mississippi,Surface,Fresh,Industrial,125.0,2970000
Missouri,Surface,Fresh,Industrial,34.1,5990000
Montana,Surface,Fresh,Industrial,29.6,989000
Nebraska,Surface,Fresh,Industrial,2.33,1830000
Nevada,Surface,Fresh,Industrial,4.53,2700000
New Hampshire,Surface,Fresh,Industrial,7.06,1320000
New Jersey,Surface,Fresh,Industrial,48.5,8790000
New Mexico,Surface,Fresh,Industrial,0.83,2060000
New York,Surface,Fresh,Industrial,316.0,19400000
North Carolina,Surface,Fresh,Industrial,188.0,9540000
North Dakota,Surface,Fresh,Industrial,12.9,673000
Ohio,Surface,Fresh,Industrial,293.0,11500000
Oklahoma,Surface,Fresh,Industrial,14.3,3750000
Oregon,Surface,Fresh,Industrial,123.0,3830000
Pennsylvania,Surface,Fresh,Industrial,792.0,12700000
Rhode Island,Surface,Fresh,Industrial,3.35,1050000
South Carolina,Surface,Fresh,Industrial,365.0,4630000
South Dakota,Surface,Fresh,Industrial,2.63,814000
Tennessee,Surface,Fresh,Industrial,728.0,6350000
Texas,Surface,Fresh,Industrial,571.0,25100000
Utah,Surface,Fresh,Industrial,16.4,2760000
Vermont,Surface,Fresh,Industrial,3.69,626000
Virginia,Surface,Fresh,Industrial,309.0,8000000
Washington,Surface,Fresh,Industrial,358.0,6720000
West Virginia,Surface,Fresh,Industrial,729.0,1850000
Wisconsin,Surface,Fresh,Industrial,382.0,5690000
Wyoming,Surface,Fresh,Industrial,1.82,564000
Puerto Rico,Surface,Fresh,Industrial,0.0,3730000
U.S. Virgin Islands,Surface,Fresh,Industrial,0.0,106000
Alabama,Surface,Saline,Industrial,0.0,4780000
Alaska,Surface,Saline,Industrial,4.3,710000
Arizona,Surface,Saline,Industrial,0.0,6390000
Arkansas,Surface,Saline,Industrial,0.0,2920000
California,Surface,Saline,Industrial,0.0,37300000
Colorado,Surface,Saline,Industrial,0.0,5030000
Connecticut,Surface,Saline,Industrial,38.5,3570000
Delaware,Surface,Saline,Industrial,0.0,898000
District Of Columbia,Surface,Saline,Industrial,0.0,602000
Florida,Surface,Saline,Industrial,0.0,18800000
Georgia,Surface,Saline,Industrial,0.0,9690000
Hawaii,Surface,Saline,Industrial,0.0,1360000
Idaho,Surface,Saline,Industrial,0.0,1570000
Illinois,Surface,Saline,Industrial,0.0,12800000
Indiana,Surface,Saline,Industrial,0.0,6480000
Iowa,Surface,Saline,Industrial,0.0,3050000
Kansas,Surface,Saline,Industrial,0.0,2850000
Kentucky,Surface,Saline,Industrial,0.0,4340000
Louisiana,Surface,Saline,Industrial,0.0,4530000
Maine,Surface,Saline,Industrial,14.8,1330000
Maryland,Surface,Saline,Industrial,146.0,5770000
Massachusetts,Surface,Saline,Industrial,0.0,6550000
Michigan,Surface,Saline,Industrial,0.0,9880000
Minnesota,Surface,Saline,Industrial,0.0,5300000
Mississippi,Surface,Saline,Industrial,0.0,2970000
Missouri,Surface,Saline,Industrial,0.0,5990000
Montana,Surface,Saline,Industrial,0.0,989000
Nebraska,Surface,Saline,Industrial,0.0,1830000
Nevada,Surface,Saline,Industrial,0.0,2700000
New Hampshire,Surface,Saline,Industrial,0.0,1320000
New Jersey,Surface,Saline,Industrial,0.0,8790000
New Mexico,Surface,Saline,Industrial,0.0,2060000
New York,Surface,Saline,Industrial,0.0,19400000
North Carolina,Surface,Saline,Industrial,0.0,9540000
North Dakota,Surface,Saline,Industrial,0.0,673000
Ohio,Surface,Saline,Industrial,0.0,11500000
Oklahoma,Surface,Saline,Industrial,0.0,3750000
Oregon,Surface,Saline,Industrial,0.0,3830000
Pennsylvania,Surface,Saline,Industrial,0.0,12700000
Rhode Island,Surface,Saline,Industrial,0.0,1050000
South Carolina,Surface,Saline,Industrial,0.0,4630000
South Dakota,Surface,Saline,Industrial,0.0,814000
Tennessee,Surface,Saline,Industrial,0.0,6350000
Texas,Surface,Saline,Industrial,608.0,25100000
Utah,Surface,Saline,Industrial,33.1,2760000
Vermont,Surface,Saline,Industrial,0.0,626000
Virginia,Surface,Saline,Industrial,56.1,8000000
Washington,Surface,Saline,Industrial,33.1,6720000
West Virginia,Surface,Saline,Industrial,0.0,1850000
Wisconsin,Surface,Saline,Industrial,0.0,5690000
Wyoming,Surface,Saline,Industrial,0.0,564000
Puerto Rico,Surface,Saline,Industrial,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Industrial,2.62,106000
Alabama,Surface,Fresh,Mining,7.49,4780000
Alaska,Surface,Fresh,Mining,24.1,710000
Arizona,Surface,Fresh,Mining,0.0,6390000
Arkansas,Surface,Fresh,Mining,44.1,2920000
California,Surface,Fresh,Mining,12.2,37300000
Colorado,Surface,Fresh,Mining,3.05,5030000
Connecticut,Surface,Fresh,Mining,3.8,3570000
Delaware,Surface,Fresh,Mining,0.41,898000
District Of Columbia,Surface,Fresh,Mining,0.0,602000
Florida,Surface,Fresh,Mining,34.1,18800000
Georgia,Surface,Fresh,Mining,8.41,9690000
Hawaii,Surface,Fresh,Mining,0.11,1360000
Idaho,Surface,Fresh,Mining,18.9,1570000
Illinois,Surface,Fresh,Mining,55.4,12800000
Indiana,Surface,Fresh,Mining,83.7,6480000
Iowa,Surface,Fresh,Mining,78.1,3050000
Kansas,Surface,Fresh,Mining,3.98,2850000
Kentucky,Surface,Fresh,Mining,23.0,4340000
Louisiana,Surface,Fresh,Mining,5.94,4530000
Maine,Surface,Fresh,Mining,3.73,1330000
Maryland,Surface,Fresh,Mining,2.18,5770000
Massachusetts,Surface,Fresh,Mining,4.78,6550000
Michigan,Surface,Fresh,Mining,66.0,9880000
Minnesota,Surface,Fresh,Mining,276.0,5300000
Mississippi,Surface,Fresh,Mining,0.55,2970000
Missouri,Surface,Fresh,Mining,8.41,5990000
Montana,Surface,Fresh,Mining,26.2,989000
Nebraska,Surface,Fresh,Mining,8.77,1830000
Nevada,Surface,Fresh,Mining,4.11,2700000
New Hampshire,Surface,Fresh,Mining,2.84,1320000
New Jersey,Surface,Fresh,Mining,6.91,8790000
New Mexico,Surface,Fresh,Mining,9.68,2060000
New York,Surface,Fresh,Mining,64.0,19400000
North Carolina,Surface,Fresh,Mining,4.87,9540000
North Dakota,Surface,Fresh,Mining,4.63,673000
Ohio,Surface,Fresh,Mining,35.8,11500000
Oklahoma,Surface,Fresh,Mining,13.3,3750000
Oregon,Surface,Fresh,Mining,1.17,3830000
Pennsylvania,Surface,Fresh,Mining,10.5,12700000
Rhode Island,Surface,Fresh,Mining,0.49,1050000
South Carolina,Surface,Fresh,Mining,1.74,4630000
South Dakota,Surface,Fresh,Mining,11.0,814000
Tennessee,Surface,Fresh,Mining,7.73,6350000
Texas,Surface,Fresh,Mining,81.2,25100000
Utah,Surface,Fresh,Mining,1.6,2760000
Vermont,Surface,Fresh,Mining,3.53,626000
Virginia,Surface,Fresh,Mining,28.4,8000000
Washington,Surface,Fresh,Mining,3.36,6720000
West Virginia,Surface,Fresh,Mining,9.0,1850000
Wisconsin,Surface,Fresh,Mining,8.63,5690000
Wyoming,Surface,Fresh,Mining,13.0,564000
Puerto Rico,Surface,Fresh,Mining,0.18,3730000
U.S. Virgin Islands,Surface,Fresh,Mining,0.0,106000
Alabama,Surface,Saline,Mining,0.0,4780000
Alaska,Surface,Saline,Mining,76.4,710000
Arizona,Surface,Saline,Mining,0.0,6390000
Arkansas,Surface,Saline,Mining,0.0,2920000
California,Surface,Saline,Mining,0.05,37300000
Colorado,Surface,Saline,Mining,0.0,5030000
Connecticut,Surface,Saline,Mining,0.0,3570000
Delaware,Surface,Saline,Mining,0.0,898000
District Of Columbia,Surface,Saline,Mining,0.0,602000
Florida,Surface,Saline,Mining,0.0,18800000
Georgia,Surface,Saline,Mining,0.0,9690000
Hawaii,Surface,Saline,Mining,0.0,1360000
Idaho,Surface,Saline,Mining,0.0,1570000
Illinois,Surface,Saline,Mining,0.0,12800000
Indiana,Surface,Saline,Mining,0.0,6480000
Iowa,Surface,Saline,Mining,0.0,3050000
Kansas,Surface,Saline,Mining,0.0,2850000
Kentucky,Surface,Saline,Mining,0.0,4340000
Louisiana,Surface,Saline,Mining,0.0,4530000
Maine,Surface,Saline,Mining,0.0,1330000
Maryland,Surface,Saline,Mining,0.0,5770000
Massachusetts,Surface,Saline,Mining,0.0,6550000
Michigan,Surface,Saline,Mining,0.0,9880000
Minnesota,Surface,Saline,Mining,0.0,5300000
Mississippi,Surface,Saline,Mining,0.0,2970000
Missouri,Surface,Saline,Mining,0.0,5990000
Montana,Surface,Saline,Mining,0.0,989000
Nebraska,Surface,Saline,Mining,0.0,1830000
Nevada,Surface,Saline,Mining,0.0,2700000
New Hampshire,Surface,Saline,Mining,0.0,1320000
New Jersey,Surface,Saline,Mining,0.0,8790000
New Mexico,Surface,Saline,Mining,0.0,2060000
New York,Surface,Saline,Mining,0.0,19400000
North Carolina,Surface,Saline,Mining,0.0,9540000
North Dakota,Surface,Saline,Mining,0.0,673000
Ohio,Surface,Saline,Mining,0.0,11500000
Oklahoma,Surface,Saline,Mining,0.0,3750000
Oregon,Surface,Saline,Mining,0.0,3830000
Pennsylvania,Surface,Saline,Mining,0.0,12700000
Rhode Island,Surface,Saline,Mining,0.0,1050000
South Carolina,Surface,Saline,Mining,0.0,4630000
South Dakota,Surface,Saline,Mining,0.0,814000
Tennessee,Surface,Saline,Mining,0.0,6350000
Texas,Surface,Saline,Mining,0.49,25100000
Utah,Surface,Saline,Mining,205.0,2760000
Vermont,Surface,Saline,Mining,0.0,626000
Virginia,Surface,Saline,Mining,0.0,8000000
Washington,Surface,Saline,Mining,0.0,6720000
West Virginia,Surface,Saline,Mining,0.0,1850000
Wisconsin,Surface,Saline,Mining,0.0,5690000
Wyoming,Surface,Saline,Mining,0.0,564000
Puerto Rico,Surface,Saline,Mining,0.0,3730000
U.S. Virgin Islands,Surface,Saline,Mining,0.04,106000
Alabama,Surface,Fresh,Thermoelectric,8250.0,4780000
Alaska,Surface,Fresh,Thermoelectric,55.8,710000
Arizona,Surface,Fresh,Thermoelectric,27.1,6390000
Arkansas,Surface,Fresh,Thermoelectric,1540.0,2920000
California,Surface,Fresh,Thermoelectric,32.2,37300000
Colorado,Surface,Fresh,Thermoelectric,60.2,5030000
Connecticut,Surface,Fresh,Thermoelectric,198.0,3570000
Delaware,Surface,Fresh,Thermoelectric,7.45,898000
District Of Columbia,Surface,Fresh,Thermoelectric,0.0,602000
Florida,Surface,Fresh,Thermoelectric,570.0,18800000
Georgia,Surface,Fresh,Thermoelectric,1770.0,9690000
Hawaii,Surface,Fresh,Thermoelectric,0.0,1360000
Idaho,Surface,Fresh,Thermoelectric,0.0,1570000
Illinois,Surface,Fresh,Thermoelectric,10700.0,12800000
Indiana,Surface,Fresh,Thermoelectric,5360.0,6480000
Iowa,Surface,Fresh,Thermoelectric,2220.0,3050000
Kansas,Surface,Fresh,Thermoelectric,366.0,2850000
Kentucky,Surface,Fresh,Thermoelectric,3340.0,4340000
Louisiana,Surface,Fresh,Thermoelectric,4390.0,4530000
Maine,Surface,Fresh,Thermoelectric,25.9,1330000
Maryland,Surface,Fresh,Thermoelectric,434.0,5770000
Massachusetts,Surface,Fresh,Thermoelectric,134.0,6550000
Michigan,Surface,Fresh,Thermoelectric,8510.0,9880000
Minnesota,Surface,Fresh,Thermoelectric,2510.0,5300000
Mississippi,Surface,Fresh,Thermoelectric,905.0,2970000
Missouri,Surface,Fresh,Thermoelectric,5890.0,5990000
Montana,Surface,Fresh,Thermoelectric,150.0,989000
Nebraska,Surface,Fresh,Thermoelectric,1790.0,1830000
Nevada,Surface,Fresh,Thermoelectric,3.68,2700000
New Hampshire,Surface,Fresh,Thermoelectric,201.0,1320000
New Jersey,Surface,Fresh,Thermoelectric,512.0,8790000
New Mexico,Surface,Fresh,Thermoelectric,42.3,2060000
New York,Surface,Fresh,Thermoelectric,2750.0,19400000
North Carolina,Surface,Fresh,Thermoelectric,7660.0,9540000
North Dakota,Surface,Fresh,Thermoelectric,837.0,673000
Ohio,Surface,Fresh,Thermoelectric,7190.0,11500000
Oklahoma,Surface,Fresh,Thermoelectric,384.0,3750000
Oregon,Surface,Fresh,Thermoelectric,11.2,3830000
Pennsylvania,Surface,Fresh,Thermoelectric,5390.0,12700000
Rhode Island,Surface,Fresh,Thermoelectric,1.44,1050000
South Carolina,Surface,Fresh,Thermoelectric,5500.0,4630000
South Dakota,Surface,Fresh,Thermoelectric,6.93,814000
Tennessee,Surface,Fresh,Thermoelectric,5800.0,6350000
Texas,Surface,Fresh,Thermoelectric,10400.0,25100000
Utah,Surface,Fresh,Thermoelectric,45.6,2760000
Vermont,Surface,Fresh,Thermoelectric,344.0,626000
Virginia,Surface,Fresh,Thermoelectric,2850.0,8000000
Washington,Surface,Fresh,Thermoelectric,36.4,6720000
West Virginia,Surface,Fresh,Thermoelectric,2470.0,1850000
Wisconsin,Surface,Fresh,Thermoelectric,4630.0,5690000
Wyoming,Surface,Fresh,Thermoelectric,61.1,564000
Puerto Rico,Surface,Fresh,Thermoelectric,2.61,3730000
U.S. Virgin Islands,Surface,Fresh,Thermoelectric,0.17,106000
Alabama,Surface,Saline,Thermoelectric,0.0,4780000
Alaska,Surface,Saline,Thermoelectric,0.0,710000
Arizona,Surface,Saline,Thermoelectric,0.0,6390000
Arkansas,Surface,Saline,Thermoelectric,0.0,2920000
California,Surface,Saline,Thermoelectric,6490.0,37300000
